"Innomotics Large Drives (Shanghai) Co., Ltd., Shanghai Pilot Free Trade Zone / China","-2","-1","100"
"Innomotics Standard Motors Ltd., Yizheng / China","30","147","100"
"Siemens Circuit Protection Systems Ltd., Shanghai, Shanghai / China","20","29","75"
"Siemens Electrical Apparatus Ltd., Suzhou, Suzhou / China","84","122","100"
"Siemens Electrical Drives Ltd., Tianjin / China","62","124","85"
"Siemens Electronic Design Automation (Shanghai) Co., Ltd., Shanghai Pilot Free Trade Zone / 
China","3","66","100"
"Siemens Factory Automation Engineering Ltd., Peking / China","14","24","100"
"Siemens Finance and Leasing Ltd., Peking / China","2","124","100"
"Siemens Financial Services Ltd., Peking / China","18","224","100"
"Siemens Healthcare Diagnostics Manufacturing Ltd., Shanghai, Shanghai / China","-24","â€“","100"
"Siemens Healthineers Diagnostics (Shanghai) Co., Ltd., Shanghai / China","46","165","100"
"Siemens Healthineers Digital Technology (Shanghai) Co., Ltd., Shanghai / China","90","94","100"
"Siemens Healthineers Ltd., Shanghai / China","112","172","100"
"Siemens Industrial Automation Products Ltd., Chengdu, Chengdu / China","93","125","100"
"Siemens Industry Software (Shanghai) Co., Ltd., Shanghai / China","24","79","100"
"Siemens International Trading Ltd., Shanghai, Shanghai / China","11","37","100"
"Siemens Ltd., China, Peking / China","758","2.192","100"
"Siemens Mechatronics Technology JiangSu Ltd., Yizheng / China","5","3","100"
"Siemens Medium Voltage Switching Technologies (Wuxi) Ltd., Wuxi / China","71","75","85"
"Siemens Mobility Equipment (China) Co., Ltd, Shanghai Pilot Free Trade Zone / China","4","84","100"
"Siemens Mobility Technologies (Beijing) Co., Ltd, Peking / China","16","159","100"
"Siemens Numerical Control Ltd., Nanjing, Nanjing / China","75","105","80"
"Siemens Power Automation Ltd., Nanjing / China","14","19","100"
"Siemens Shenzhen Magnetic Resonance Ltd., Shenzhen / China","100","239","100"
"Siemens Switchgear Ltd., Shanghai, Shanghai / China","33","49","55"
"Zhenjiang Siemens Busbar Trunking Systems Co. Ltd., Yangzhong / China","56","68","50 6"
"Siemens Limited, Hongkong / Hongkong","26","39","100"
"C&S Electric Limited, Neu-Delhi / Indien","16","239","99"
"INNOMOTICS INDIA PRIVATE LIMITED, Mumbai / Indien","7","28","100"
"SIEMENS EDA (INDIA) PRIVATE LIMITED, Neu-Delhi / Indien","18","84","100"
"Siemens Financial Services Private Limited, Mumbai / Indien","15","111","100"
"Siemens Healthcare Private Limited, Mumbai / Indien","10","633","100"
"Siemens Industry Software (India) Private Limited, Neu-Delhi / Indien","25","86","100"
"Siemens Limited, Mumbai / Indien","281","1.899","69"
"P.T. Jawa Power, Jakarta / Indonesien","195","884","50 6"
"P.T. Siemens Indonesia, Jakarta / Indonesien","-1","47","100"
"Siemens Healthcare Diagnostics K.K., Tokio / Japan","2","199","100"
"Siemens Healthcare K.K., Tokio / Japan","27","218","100"
"Siemens K.K., Tokio / Japan","9","143","100"
"Varian Medical Systems K.K., Tokio / Japan","3","947","100"
"Siemens Healthineers Ltd., Seoul / Korea","24","115","100"
"Siemens Ltd. Seoul, Seoul / Korea","22","171","100"
"Siemens Limited, Taipeh / Taiwan","19","55","100"
